,Componente 1,Componente 2,C. Manual,Clusters
0,-0.5403813053198098,-0.5302853972121884,C-07_Convivencia,5
1,-0.38434067228962693,-0.2574099936283958,C-07_Convivencia,3
2,-0.3808778693792413,-0.2255229538843675,C-07_Convivencia,3
3,-0.3906129811469462,-0.2465818266224798,C-07_Convivencia,3
4,-0.4450098379971027,-0.7512085685830479,X-05_Reclasificar Servicios Front - App Movil,5
5,22.242747280303917,-1.6834211925765106,C-08_Licencia,6
6,14.979331158558137,-0.006555398867056426,X-01_Reclasificar - TI - Licencia Autos,9
7,0.41627341372689136,1.1652926071755072,C-01_Servicios GAP,0
8,0.40653830195918683,1.144233734437396,C-01_Servicios GAP,0
9,0.4018268688742351,1.1225754813610918,C-01_Servicios GAP,0
10,0.9555268580398437,0.9744004655759245,C-01_Servicios GAP,0
11,0.11649348110904105,1.0010647606219225,S-02_Licencia SAP,0
12,0.1067583693413359,0.9800058878838102,S-02_Licencia SAP,0
13,8.259921687398133,-2.3518533289933887,O-01_Servicios Onbase,7
14,8.248967371870705,-2.3760368017337066,O-01_Servicios Onbase,7
15,8.23984184323041,-2.3955333602549196,O-01_Servicios Onbase,7
16,0.42488508995569224,-1.2914866248347858,C-11_PMO & Soporte - Autos,2
17,0.4151499781879873,-1.312545497572898,C-11_PMO & Soporte - Autos,2
18,-0.2724522183846465,-0.019577228344465535,C-12_Viaticos,3
19,-0.3804964097470628,0.03388973197440922,C-12_Viaticos,3
20,-0.3657422147425486,-0.7670341390162149,C-12_Viaticos,5
21,-0.5416229467757289,-0.6621418613207571,C-12_Viaticos,5
22,0.4054148664202822,-1.33360437031101,C-11_PMO & Soporte - Autos,2
23,-0.1563731732095545,1.2257483314924675,C-10_Hardware,0
24,-0.1545444238273223,1.2304352741431668,C-10_Hardware,0
25,-0.15576359008214372,1.2273106457093674,C-10_Hardware,0
26,-0.1569827563369652,1.224186017275568,C-10_Hardware,0
27,-0.15515400695473305,1.228872959926267,C-10_Hardware,0
28,1.6788427877816967,-0.4122259694739872,C-03_Servicios InMotion_Construcción,4
29,0.38703775121054296,-0.1605355154600189,C-03_Servicios InMotion_Construcción,3
30,2.6934858498832335,-2.0739583516932267,S-01_Servicios SAP,4
31,1.6523660085418679,-1.313148382910139,S-01_Servicios SAP,4
32,-0.3323600526187857,0.013690961001715475,C-12_Viaticos,3
33,-0.3395035570953671,-0.00933254911397982,C-12_Viaticos,3
34,-0.3499942050586088,-0.02981866738618509,C-12_Viaticos,3
35,0.395679754652577,-1.3546632430491223,C-11_PMO & Soporte - Autos,2
36,0.586507370944869,-0.17660876566549558,C-03_Servicios InMotion_Construcción,2
37,0.38594464288487224,-1.3757221157872346,C-11_PMO & Soporte - Autos,2
38,-0.4000625680845074,-0.6236000131463185,C-12_Viaticos,5
39,-0.3466346533139849,-0.6580292009838806,C-12_Viaticos,5
40,0.6297953539964635,-0.23393993612972805,C-03_Servicios InMotion_Construcción,2
41,-0.399937590749516,-0.6317924557536486,C-12_Viaticos,5
42,-0.3415699972236225,-0.6578197492019973,C-12_Viaticos,5
43,0.37620953111716715,-1.3967809885253466,C-11_PMO & Soporte - Autos,2
44,1.6426308967741619,-1.3342072556482503,S-01_Servicios SAP,4
45,0.9136058113314918,0.6203020096033293,O-01_Licencia Onbase,0
